audience_name,size
靈氣療法,22675010
芳香療法,18458330
信心療法,15131600
順勢療法,10452240
區域反射療法,5631620
整骨療法,4330630
認知行為療法,4000130
支氣管,2065720
醫藥代表,119810
中國醫藥大學,26070
耳鳴,4334440
聽力學,4207280
兒童,804487140
尼克國際兒童頻道,57804800
兒童文學,54727510
聯合國兒童基金會,54601330
兒童電視節目,21321700
兒童節,10812610
兒童安全座椅,9641960
SOS兒童村,5503780
兒童人權,3447980
兒童玩具圖書館,1939310
兒童權利公約,507320
國家兒童醫學中心,413670
費城兒童醫院,175040
婦產科學,14067850
小兒科,46133900
小兒科,46133900
美容,1318338370
美容沙龍,553929000
Face Beauty 美容保養館,1
婦科學,36116260
雙子宮,10691630
Gennie's奇妮孕婦裝,18220
