audience_name,size
大人小孩雙拍檔,1260170
小孩大聯盟,698160
預防醫學,52120390
預防理論,34683850
美國疾病控制與預防中心,21645970
阿金減肥法,1934030
超級減肥王,1478490
超級減肥王（美國電視影集）,1262500
瘦身減肥方法食譜節食運動減肥藥產後瘦身瘦小腹瘦大腿,138300
食譜,395041210
瘦身減肥方法食譜節食運動減肥藥產後瘦身瘦小腹瘦大腿,138300
按摩,195644030
家庭和園藝,785479570
家庭事業,18334045
寄宿家庭,16811340
家庭劇院,13398860
摩登家庭,8316880
家庭问答,7668570
家庭劇院個人電腦,5498350
家庭法,4404770
家庭系統排列,2997600
家庭教師HITMAN REBORN!,2623270
家庭農業,1365680
另類家庭,477470
核心家庭,287780
福斯家庭電影頻道,274340
奇妙家庭變形豆,171530
BabyHome寶貝家庭親子網,157640
冒牌家庭,77950
家庭教師,18490
BabyHome 寶貝家庭親子粉絲網,487
雷射,150606030
雷射印表機,2618260
雷射二極體,2472550
雷射焊,115590
心理,513045400
心理學,531625080
演化心理學,234633570
發展心理學,144936540
社會心理學,91311650
教育心理學,66643530
正面心理學,43294780
心理學家,42726900
神經心理學,20817120
實驗心理學,19180670
臨床心理學,16695230
超心理學,16472920
心理學恐懼,15615310
心理測驗,8940280
工業與組織心理學,8122040
人格心理學,7801854
犯罪心理,7472860
法庭心理學,4509420
應用心理學,2267590
認知心理學,2012200
心理統計學,1637650
分析心理學,1254850
美國心理學會,973010
運動心理學,828110
超個人心理學,693550
人本主義心理學,584100
心理學博士,301980
健康心理學,298740
生物心理學,247530
整體心理學,182570
美國心理學期刊,1500
世界衛生組織,224334080
公共衛生,120036480
衛生學,35782080
國立衛生研究院,19518480
衛生政策研究,14739620
衛生紙,12419020
衛生棉,7570740
醫療衛生科學,2491270
美國衛生及公共服務部,1656500
世界衛生日,643640
世界精神衛生日,535580
美國國家職業安全衛生研究所,285370
布隆博格公共衛生學院,78910
衛生信息技術,61260
兩性共享,39710170
瘦身減肥方法食譜節食運動減肥藥產後瘦身瘦小腹瘦大腿,138300
草本瘦身大作戰,12680
瘦身男女,260
胃腸學,5548070
雷之心靈傳奇,36563360
美麗心靈,6692150
心靈雞湯,3627220
心靈感應,2392200
心靈捕手,985880
心靈殺手,63990
心靈鑰匙,15390
阿金減肥法,1934030
憂鬱,11208520
茶,408135680
壓力,128392270
壓力鍋,3376310
壓力容器,577470
餐廳,763791810
Subway （餐廳）,56233550
速食休閒餐廳,46198127
硬石餐廳,9013430
星期五美式餐廳,6574000
Red Lobster 餐廳,4209800
美女餐廳,2770470
雙峰 (連鎖餐廳),725620
勞瑞斯牛肋排餐廳,215390
鬥牛犬餐廳,138320
青春期戀愛,44337040
遠距離戀愛,6475890
自由戀愛,2838390
戀愛模擬遊戲,1052600
戀愛時代,540170
戀愛心曲,301870
戀愛夢遊中,101760
戀愛情結,29400
戀愛研究所,17600
戀愛雞尾酒,12940
