audience_name,size
分類回收桶,281730
現金,40909460
現金流量,7653520
現金回饋網站,573270
SOHO - 100% Design Shop - סוהו,32080
麥當勞叔叔之家慈善基金,86257000
聯合國兒童基金會,54601330
共同基金,26891220
基金會（非營利）,23536330
世界自然基金會,16001790
洛克菲勒基金會,6557720
比爾及梅琳達·蓋茨基金會,5402230
願望成真基金,4509930
美國傳統基金會,4170810
開放社會基金會,2621480
對沖基金,1785490
聯合國人口基金,1746710
電子前哨基金會,1546790
國家科學基金會,1514520
卡達基金會,683630
慈濟基金會,517850
種子基金,487190
惠康基金會,252810
福特基金會,236280
柯林頓基金會,231260
國際雪豹基金會,217930
糖尿病攜手基金會,184580
指數基金,184300
麥克阿瑟基金會,151190
卡內基國際和平基金會,107340
納斯達克100指數,188403410
巴黎CAC40指數,108644200
道瓊斯工業平均指數,40862520
人類發展指數,40469690
富時100指數,29734400
德國DAX指數,26376770
富時250指數,12867780
股價指數,5425740
升糖指數,2073340
日經平均指數,1802090
整體攻擊指數,1634790
指數增長,821050
標準普爾500指數,328030
指數基金,184300
恒生指數,172910
股票指數期貨,53990
胰島素指數,44750
採購經理指數,6980
教育指數,5950
匯率,12357700
浮動匯率,269500
匯率風險,49520
股息,6641320
財務自由,982770
利率,48824340
無風險利率,381660
網路銀行,80983080
印度國家銀行,38435690
投資銀行業,24425850
銀行帳戶,23460150
零售銀行業務,22123350
加拿大豐業銀行,15637540
世界銀行,13928160
商業銀行,12918070
馬來亞銀行,10729250
聯昌國際銀行,10628110
開泰銀行,10186550
富國銀行集團,9066680
巴西銀行,8646150
伊斯蘭銀行,7840760
贊尼特銀行,7444950
巴克萊銀行,6497630
星展銀行,5592580
法國巴黎銀行,5529610
盤谷銀行,5459010
萊斯銀行,4562380
澳盛銀行,4448610
軍人銀行,4436990
食物銀行,3978680
銀行假日,3851160
美洲開發銀行,3733250
印尼國家銀行,3670550
法國農業信貸銀行,3336160
加拿大皇家銀行,3173560
標準銀行,3013600
國民西敏銀行,2718510
銀行卡,2556120
智利桑坦德銀行,2533040
印度儲備銀行,2391290
華僑銀行,2327970
美國銀行,2309070
蒙特婁銀行,2217750
澳洲國民銀行,2175350
音樂銀行,2156420
多倫多道明銀行金融集團,2090510
德意志銀行,2005430
蘇格蘭銀行,1956380
越南投資發展銀行,1920480
俄羅斯聯邦儲蓄銀行,1647950
道明加拿大信託銀行,1527510
AM銀行,1390070
北歐銀行,1328480
澳洲聯邦銀行,1294230
中國工商銀行,1284470
愛爾蘭聯合銀行,1067510
新韓銀行,1060430
義大利聯合聖保羅銀行,998720
馬來西亞滙豐銀行,991720
荷蘭銀行,981060
瑞典銀行,966580
義大利國家勞工銀行,957390
裕信銀行,943970
丹斯克銀行,913260
西太平洋銀行,904300
加拿大國民銀行,800300
中國銀行,797720
瓦基弗銀行,776080
荷蘭合作銀行,731470
伊斯蘭開發銀行,698830
泰京銀行,695430
英格蘭銀行,661490
馬來西亞國家銀行,635530
美國大通銀行,624770
孟加拉鄉村銀行,581290
1111人力銀行,562560
鑽石銀行,541840
奧克蘭儲蓄銀行,492500
西班牙洲際銀行,453350
愛爾蘭銀行,438530
北岩銀行,376650
恒生銀行,370420
歐洲投資銀行,344440
克萊茲戴爾銀行,321520
阿爾斯特銀行,307270
西澳銀行,293190
518人力銀行,287970
非洲開發銀行,287560
盛寶銀行,268250
墨西哥銀行,234900
薩瓦德爾銀行,219020
德國郵政銀行,198830
國際清算銀行,177290
麥格理銀行,170350
104人力銀行,153170
比利時聯合銀行,131590
中華電視公司,2821660
中華電信,718620
中華電信行動學園,175630
麥當勞叔叔之家慈善基金,86257000
聯合國兒童基金會,54601330
共同基金,26891220
基金會（非營利）,23536330
世界自然基金會,16001790
洛克菲勒基金會,6557720
比爾及梅琳達·蓋茨基金會,5402230
願望成真基金,4509930
美國傳統基金會,4170810
開放社會基金會,2621480
對沖基金,1785490
聯合國人口基金,1746710
電子前哨基金會,1546790
國家科學基金會,1514520
卡達基金會,683630
慈濟基金會,517850
種子基金,487190
惠康基金會,252810
福特基金會,236280
柯林頓基金會,231260
國際雪豹基金會,217930
糖尿病攜手基金會,184580
指數基金,184300
麥克阿瑟基金會,151190
卡內基國際和平基金會,107340
