audience_name,size
愛情,10883880
浪漫（愛情）,154795990
愛情限時簽,10833330
愛情的證明,733270
愛情大臨演,539170
『 愛情、心語、分享 』,532480
愛情避風港,468870
愛情像母狗,293300
愛情沒有終點,207190
愛情與靈藥,166270
愛情狗仔,113270
宮廷愛情,107190
愛情公寓,75360
食品安全,5262570
食品安全和檢驗署,3560
日本料理,130861320
中式料理,129953940
義大利料理,125221760
墨西哥料理,99193380
韓式料理,86840870
法式料理,84563740
印度料理,71995120
西班牙料理,52175937
泰式料理,51488710
越南料理,46869143
拉丁美洲料理,46284091
德國料理,37258460
素食料理,33762133
希臘料理,29799248
料理鼠王,6297930
鐵人料理,2261130
iCook 愛料理,1733690
MASAの料理ABC,551380
料理媽媽,244030
瓦城 泰國料理 Thai Town Cuisine,44700
美食,555230480
美食家,75461810
Food Network 美食頻道,72707020
美食廣場,17326190
楊桃美食網,4465470
高雄美食地圖,856000
美食獵人TORIKO,726480
赫布匈美食坊,679690
美食評論家,422250
高雄美食同好會,193640
美食王,177280
美食頻道 (美國),96950
寬巷子鍋品美食,18840
化妝品,927465060
MAC 化妝品,83475128
特效化妝師大對決,5561080
化妝舞會,107800
營養素,220149510
飲食（營養）,190294700
營養師,27224750
全價值營養,5178520
營養醫學,3372130
營養主義,4160
糖尿病,111331340
2型糖尿病,14859230
適合糖尿病患者的飲食,1873560
美國糖尿病協會,1349670
聯合國糖尿病日,902570
糖尿病攜手基金會,184580
作家,85377520
詞曲作家,38960180
專欄作家,2744790
美國作曲家、作家和發行商協會,649300
英國犯罪作家協會,34940
美國科幻和奇幻作家協會,29890
ω-3脂肪酸,14909500
脂肪酸,9686070
飽和脂肪,2498600
必需脂肪酸,2459010
體脂肪率,1416620
脂肪酸代謝,247320
婦科學,36116260
瘦身減肥方法食譜節食運動減肥藥產後瘦身瘦小腹瘦大腿,138300
左旋甲狀腺素鈉,694920
運動,1566160200
運動和戶外活動,1589096970
團隊運動,225818610
運動鞋（鞋）,161367280
運動類遊戲,115341140
運動服裝（機能運動衫）,114242480
教練（運動）,75776370
社會運動,51324180
運動員,50455800
新紀元運動,46163050
青年奧林匹克運動會,38399100
世界極限運動會,37090360
運動鞋收集,36319928
五旬節運動,30419850
極限運動,27114380
登山運動,24743290
夏季奧林匹克運動會,21820450
有氧運動,20776320
2016年夏季奧林匹克運動會,18460210
2018年冬季奧林匹克運動會,17750470
耶穌運動,17699390
運動畫刊,16064810
2012年夏季奧林匹克運動會,15912320
綜合運動會,15780400
國際紅十字與紅新月運動,15670080
薩拉菲運動,14757400
夏季奧林匹克運動會田徑比賽,14285320
運動相機,13822940
射擊運動,13263140
貝貝 (足球運動員),13000020
藝術運動,11395980
巴西民主運動黨,9985080
五星運動,9970410
運動胸罩,9438920
浩克 (足球運動員),8521750
馬拉簡拿運動場,8477590
政治運動,7701180
環保運動,7469120
巴西足球運動,7138540
運動醫學,7052620
保育運動,6947670
慢食運動,6158282
反墮胎運動,5941140
美國茶會運動,5762640
運動畫刊泳裝特輯,5298150
抵抗運動,4889280
義大利足球運動,4656430
運動科學,4638030
東尼·霍克 (運動員),4443060
後期聖徒運動,4417470
新藝術運動,4202170
運動生理學,4188430
特殊奧林匹克運動會,4049990
LGBT權利運動,3816272
2020年夏季奧林匹克運動會,3505630
國民運動,3144520
美國哥倫比亞運動服裝公司,2976010
飛行運動,2794440
奧克蘭運動家,2785720
大眾汽車運動,2569720
帆船運動,2000320
職業運動聯盟,1832240
東南亞運動會,1812960
熱帶主義運動,1802620
瑞特運動巧克力,1436770
蓋爾運動協會,1430810
世界馬術運動會,1402200
學生運動,1358020
2010年冬季奧林匹克運動會,1259530
尤比克爭取更好的匈牙利運動,1100240
夏季奧林匹克運動會馬術比賽,1088660
Wii運動 度假勝地,1071260
飛鼠裝滑翔運動,1042160
ETtoday運動雲,1035470
1964年夏季奧林匹克運動會,885620
運動心理學,828110
運動,35918980
真空低溫烹調法,1149440
居家裝潢,213406710
居家照護,11457930
居家就業,9139410
居家男人角色列表,82310
H&D居家生活館,59260
過敏,74896870
過敏原,9456130
食物過敏,2778870
