audience_name,size
醫療保險,44637360
緊急醫療服務,29581620
聯邦醫療保險,16297480
緊急醫療技術員,4642610
患者保護與平價醫療法案,2686730
醫療衛生科學,2491270
GE醫療,921180
遠距醫療,772430
美國醫療系統,494040
醫療事故,298020
費森尤斯醫療,280480
美國醫療改革,9850
眼科學,22781850
內科學,17190340
倫敦皇家內科醫學院,359260
神經外科,8805800
外科醫生馬丁,1263320
愛爾蘭皇家外科醫學院,235220
胃腸學,5548070
免疫,11799650
免疫系統,41256380
免疫學,2746000
自體免疫性疾病,2411820
免疫缺陷,1601950
肝臟,67917620
雷射,150606030
雷射印表機,2618260
雷射二極體,2472550
雷射焊,115590
關節,67409390
關節炎,43410680
類風濕性關節炎,13126140
醫診情緣（電視影集）,1296190
口腔,97524930
牙科醫學,181172110
東京醫科牙科大學,21000
腫瘤學,31944170
糖尿病,111331340
2型糖尿病,14859230
適合糖尿病患者的飲食,1873560
美國糖尿病協會,1349670
聯合國糖尿病日,902570
糖尿病攜手基金會,184580
神經,18546050
神經科學,106041840
神經系統,40215790
神經內科,30971510
神經心理學,20817120
神經元,11277490
神經外科,8805800
神經語言規劃,6838050
中樞神經系統,6098220
人工神經網路,2544060
三叉神經,1829400
顏面神經,1283080
周圍神經系統,1148080
自主神經系統,761770
神經肌肉接點,450100
神經語言學,421470
神經生理學,156480
心臟,220270150
心臟病學,21743640
注射製模,1130820
物理學,327090480
物理治療,97942270
天體物理學,10231310
粒子物理學,7208120
諾貝爾物理學獎,6728130
物理化學,6464680
物理學家,6445090
地球物理學,3410110
理論物理學,3004360
物理定律,2407950
天文與天體物理學報,1766960
低溫物理學,1541780
原子核物理學,567340
生物物理學,478370
應用物理學,213930
數學物理,101210
