audience_name,size
無痛失戀,2461140
視力,2618880
視網膜,9006260
視網膜黃斑,379870
腎臟科,2258570
精神科醫師,6445270
過敏,74896870
過敏原,9456130
食物過敏,2778870
血管,27151140
血管學,698690
冠狀血管,402230
關節炎,43410680
類風濕性關節炎,13126140
腎臟科,2258570
世界骨質疏鬆日,7570
診斷,56179600
影像診斷學,11160370
車上診斷系統,3764990
精神疾病診斷與統計手冊,1379120
診斷,33788490
重建人類社會,2140
摩托車越野障礙賽,43293620
障礙跑,14349770
斯巴達障礙賽,10332954
障礙超越,8094308
ICD-10 第五章：精神和行為障礙,5144590
無障礙環境,3356430
書寫障礙,67420
左旋甲狀腺素鈉,694920
類風濕性關節炎,13126140
食道,4027420
脊椎,50060680
運動,1566160200
運動和戶外活動,1589096970
團隊運動,225818610
運動鞋（鞋）,161367280
運動類遊戲,115341140
運動服裝（機能運動衫）,114242480
教練（運動）,75776370
社會運動,51324180
運動員,50455800
新紀元運動,46163050
青年奧林匹克運動會,38399100
世界極限運動會,37090360
運動鞋收集,36319928
五旬節運動,30419850
極限運動,27114380
登山運動,24743290
夏季奧林匹克運動會,21820450
有氧運動,20776320
2016年夏季奧林匹克運動會,18460210
2018年冬季奧林匹克運動會,17750470
耶穌運動,17699390
運動畫刊,16064810
2012年夏季奧林匹克運動會,15912320
綜合運動會,15780400
國際紅十字與紅新月運動,15670080
薩拉菲運動,14757400
夏季奧林匹克運動會田徑比賽,14285320
運動相機,13822940
射擊運動,13263140
貝貝 (足球運動員),13000020
藝術運動,11395980
巴西民主運動黨,9985080
五星運動,9970410
運動胸罩,9438920
浩克 (足球運動員),8521750
馬拉簡拿運動場,8477590
政治運動,7701180
環保運動,7469120
巴西足球運動,7138540
運動醫學,7052620
保育運動,6947670
慢食運動,6158282
反墮胎運動,5941140
美國茶會運動,5762640
運動畫刊泳裝特輯,5298150
抵抗運動,4889280
義大利足球運動,4656430
運動科學,4638030
東尼·霍克 (運動員),4443060
後期聖徒運動,4417470
新藝術運動,4202170
運動生理學,4188430
特殊奧林匹克運動會,4049990
LGBT權利運動,3816272
2020年夏季奧林匹克運動會,3505630
國民運動,3144520
美國哥倫比亞運動服裝公司,2976010
飛行運動,2794440
奧克蘭運動家,2785720
大眾汽車運動,2569720
帆船運動,2000320
職業運動聯盟,1832240
東南亞運動會,1812960
熱帶主義運動,1802620
瑞特運動巧克力,1436770
蓋爾運動協會,1430810
世界馬術運動會,1402200
學生運動,1358020
2010年冬季奧林匹克運動會,1259530
尤比克爭取更好的匈牙利運動,1100240
夏季奧林匹克運動會馬術比賽,1088660
Wii運動 度假勝地,1071260
飛鼠裝滑翔運動,1042160
ETtoday運動雲,1035470
1964年夏季奧林匹克運動會,885620
運動心理學,828110
運動,35918980
醫學院,31039050
哈佛醫學院,2016600
倫敦皇家內科醫學院,359260
愛爾蘭皇家外科醫學院,235220
威斯康辛醫學院,130300
貝勒醫學院,116150
西奈山伊坎醫學院,67490
東弗吉尼亞醫學院,53460
哈佛牙醫學院,42130
紐約醫學院,26760
喬治城大學醫學院,5210
肉毒桿菌,92840
肺炎,5107160
血液學,9026600
