audience_name,size
南亞,501020110
網際協議通話技術,88675020
教育技術學,57172610
生物技術,30466170
自動化技術,26312890
奈米技術,26248350
技術劇場,24887670
新興技術,21209130
工作流技術,8260080
技術員,5990190
污染物排放控制技術,5446570
技術分析,4774730
緊急醫療技術員,4642610
技術型高級中等學校,4532610
食品技術,2469760
生物識別技術,1917610
首席技術官,1868780
牙體技術師,1590170
速霸陸技術國際,1490850
低可偵測性技術,1191300
國家標準技術研究所,1105130
技術與繼續教育學院,1100570
先皇技術學院,590040
藍牙技術聯盟,509740
丹麥技術大學,413570
韓國科學技術院,180780
法國國立高等工程技術學校,110500
明斯特應用技術大學,74740
聯合技術公司,65880
衛生信息技術,61260
奧格斯堡應用技術大學,5670
價值,188997210
全價值營養,5178520
價值投資,1883860
NBA最有價值球員,947450
客戶生命周期價值,403860
國家橄欖球聯盟最有價值球員,183120
美國職棒大聯盟最有價值球員獎,130930
價值,27256850
籌碼,4298080
上海市,225636190
上海3D方塊,1246510
上海迪士尼樂園,907190
香港上海大酒店,179000
香港上海滙豐銀行,88130
上海證券交易所,84700
上海大師賽,56630
上海灘 (品牌),32910
