audience_name,size
補貼,9662970
內政部,3533340
英國內政部,1840440
青年,157287640
巴蘭基亞青年體育俱樂部,79809540
青年奧林匹克運動會,38399100
文藝青年,23572390
青年旅舍,10667020
阿根廷青年,6254920
世界青年拉力錦標賽,2621960
青年小說,2567560
青年民主主義者聯盟－匈牙利公民聯盟,2311300
青年漫畫,1519010
青年藝術家獎,1396090
青年成就,1365020
國際青年商會,1202190
基督教女青年會,568050
青年會,447510
青年文化,353730
2018年夏季青年奧林匹克運動會,297440
國際青年旅舍聯盟,146330
王宏哲教養、育兒寶典,1432820
媽媽寶寶-懷孕、生產、育兒,359720
純情房東俏房客,32970
社會,525853920
社會網路,1165893280
政治與社會議題,1112578960
社會科學,264565600
社會群體,215004360
生活方式（社會學）,189532610
社會學,180653720
社會階級,123676280
社會心理學,91311650
社會關係,77142730
社會地位,66409690
社會運動,51324180
西班牙工人社會黨,44242920
社會工作,29927250
社會哲學,28741010
丹麥社會自由黨,26560270
公民社會,26187340
社會正義,16529080
社會民主主義,15951510
社會變遷,12341250
德國社會民主黨,11463520
巴西社會黨,10107790
社會企業,9404470
聯合國經濟及社會理事會,8662060
社會黨國際,8594670
美國社會安全保險,7791200
社會排斥,6665610
社會民主黨 (丹麥),5879610
社會統計調查,5739730
企業社會責任,5184710
社會營銷,3956090
瑞士社會民主黨,3868760
歐洲社會黨,3121760
社會不平等,3030310
開放社會基金會,2621480
奧地利社會民主黨,1492400
拜仁基督教社會聯盟,1399100
社會工作專業碩士,1287390
瑞典社會民主工人黨,1027880
SocREC 社會記錄頻道,1013940
社會保障基金,1001380
社會責任,707590
社會研究,610600
社會政策,538820
烏克蘭社會民主黨,500590
不同社會黨,449410
社會市場經濟,433530
社會進步,376990
社會主義工人黨 (英國),224820
社會主義人民黨,196860
社會工程學,156750
住房抵押貸款,135110930
美國住房及城市發展部,1962880
住房權,1669740
房地產,353161710
房地產投資,31533658
房地產經濟學,650120
房地產泡沫,471190
房地產自有率,84840
