audience_name,size
家人,1115651370
家人和感情狀況,1400008420
富爸爸窮爸爸,5850330
媽媽與爸爸合唱團,655740
了不起的狐狸爸爸,199510
躁爸爸狂媽媽,166670
保險,320912270
人壽保險,59038430
機動車輛保險,51132560
醫療保險,44637360
旅遊平安保險,16825300
保險合同,8192780
保險杠,7830110
美國社會安全保險,7791200
友邦保險,2631410
責任保險,2533060
寵物保險,2424270
相互保險公司,1175670
Medibank私人保險,636530
健康保險便利和責任法案,609560
財產保險,589310
退休保險,539310
長期照顧保險,97340
儲蓄,7673490
儲蓄互助社,15778530
俄羅斯聯邦儲蓄銀行,1647950
奧克蘭儲蓄銀行,492500
免稅儲蓄賬戶,178080
世界遺產,93774480
文化遺產,14194010
非物質文化遺產,1513210
遺產稅,896530
英格蘭遺產委員會,840750
自然遺產,124110
光明與黑暗續戰篇 眾神的遺產,3700
遺囑,5443040
健保真要命,567380
醫院,245917330
麻省總醫院,6422280
教學醫院,3865130
約翰·霍普金斯醫院,1625740
布萊根婦女醫院,240300
診所,138519100
馬約診所,4611880
克利夫蘭診所,2069800
米蘭時尚診所,255040
聖宜診所 SaintEir Clinic,177350
美之約醫美診所,38280
法泊時尚診所,34630
醫師,280277680
美國醫師執照考試,8928830
麻醉科醫師,1357450
美國醫師執照考試第一階段,633250
肯醫師煩事多,230560
彭醫師整型相談室,127210
許添盛醫師,34400
實習醫生,25125940
普通科醫生,23999800
德瑞醫生,15692280
無國界醫生,9386010
實習醫生成長記,2235570
外科醫生馬丁,1263320
異鄉人醫生,947460
安眠醫生,686700
醫生樂隊,91680
手術室,4111100
理學檢查,13066010
飛機維修檢查,244390
註冊舞弊檢查師,50520
註冊舞弊檢查師協會,42190
健身和保健,1116189370
健康保健,307806870
國民保健署,7888520
耳鼻喉科學,26549290
美國疾病控制與預防中心,21645970
遺傳性疾病,3745760
退行性疾病,2413310
自體免疫性疾病,2411820
精神疾病診斷與統計手冊,1379120
貓的疾病,687710
美國罕見疾病組織,59020
治療,324217910
物理治療,97942270
操作治療學,26407930
治療樂隊,15862360
職能治療,5893740
音樂治療,3720500
光照治療,3330720
藝術治療,2636230
行為治療,805280
個人中心治療,632440
職能治療師,423550
遊戲治療,303650
