,CUS_ID,Ypred
0,3,0.2
1,5,0.1
2,20,0.2
3,48,0.2
4,49,0.1
5,55,0.2
6,62,0.2
7,68,0.2
8,72,0.2
9,73,0.1
10,84,0.2
11,135,0.1
12,149,0.2
13,154,0.1
14,155,0.1
15,156,0.2
16,176,0.1
17,206,0.2
18,217,0.2
19,255,0.2
20,256,0.3
21,280,0.1
22,308,0.2
23,323,0.3
24,330,0.3
25,370,0.1
26,374,0.2
27,427,0.2
28,430,0.1
29,432,0.2
30,439,0.2
31,446,0.2
32,472,0.1
33,476,0.3
34,528,0.1
35,563,0.2
36,593,0.2
37,619,0.3
38,647,0.0
39,703,0.1
40,716,0.2
41,737,0.1
42,815,0.3
43,833,0.1
44,875,0.2
45,876,0.1
46,905,0.0
47,965,0.2
48,982,0.0
49,993,0.2
50,996,0.1
51,1007,0.1
52,1038,0.3
53,1049,0.0
54,1061,0.2
55,1070,0.1
56,1079,0.0
57,1094,0.1
58,1126,0.2
59,1127,0.4
60,1192,0.0
61,1193,0.0
62,1218,0.3
63,1251,0.0
64,1265,0.1
65,1280,0.0
66,1283,0.1
67,1304,0.3
68,1307,0.2
69,1312,0.2
70,1322,0.1
71,1344,0.1
72,1370,0.1
73,1410,0.2
74,1414,0.1
75,1415,0.3
76,1420,0.1
77,1441,0.0
78,1447,0.1
79,1467,0.1
80,1498,0.2
81,1525,0.2
82,1545,0.1
83,1546,0.1
84,1548,0.1
85,1573,0.0
86,1582,0.1
87,1593,0.1
88,1606,0.2
89,1611,0.2
90,1637,0.2
91,1699,0.2
92,1710,0.2
93,1712,0.1
94,1727,0.1
95,1772,0.1
96,1774,0.1
97,1790,0.1
98,1791,0.2
99,1805,0.2
100,1818,0.0
101,1820,0.2
102,1841,0.3
103,1850,0.1
104,1895,0.3
105,1901,0.1
106,1967,0.1
107,1981,0.2
108,2000,0.2
109,2019,0.2
110,2023,0.2
111,2038,0.1
112,2063,0.1
113,2070,0.2
114,2130,0.1
115,2133,0.1
116,2137,0.3
117,2147,0.2
118,2169,0.2
119,2173,0.0
120,2182,0.1
121,2187,0.2
122,2214,0.2
123,2224,0.1
124,2238,0.2
125,2250,0.2
126,2328,0.0
127,2363,0.1
128,2377,0.0
129,2387,0.1
130,2388,0.0
131,2398,0.0
132,2418,0.1
133,2467,0.1
134,2481,0.1
135,2486,0.2
136,2487,0.2
137,2519,0.2
138,2524,0.1
139,2546,0.0
140,2606,0.3
141,2637,0.2
142,2648,0.2
143,2672,0.2
144,2679,0.2
145,2713,0.3
146,2724,0.2
147,2731,0.1
148,2740,0.2
149,2761,0.1
150,2769,0.1
151,2779,0.1
152,2800,0.1
153,2814,0.1
154,2816,0.3
155,2820,0.3
156,2845,0.1
157,2857,0.1
158,2880,0.2
159,2902,0.3
160,2917,0.5
161,2930,0.2
162,2972,0.3
163,2978,0.2
164,2981,0.1
165,3015,0.0
166,3016,0.1
