,CUS_ID,Ypred
0,3,0.027388593
1,5,0.074501604
2,20,0.01294757
3,48,0.0062011015
4,49,0.074501604
5,55,0.0062011015
6,62,0.0040409514
7,68,0.038631033
8,72,0.0040409514
9,73,0.0040409514
10,84,0.0040409514
11,135,0.04969434
12,149,0.0062011015
13,154,0.0058824406
14,155,0.0058824406
15,156,0.0062011015
16,176,0.0058824406
17,206,0.01294757
18,217,0.0040409514
19,255,0.0040409514
20,256,0.0040409514
21,280,0.035250302
22,308,0.0040409514
23,323,0.0040409514
24,330,0.01294757
25,370,0.0021863335
26,374,0.0030799403
27,427,0.0020749113
28,430,0.21427013
29,432,0.007232459
30,439,0.0020749113
31,446,0.0020749113
32,472,0.0048677106
33,476,0.0070767966
34,528,0.002112438
35,563,0.01739717
36,593,0.008734994
37,619,0.017702395
38,647,0.028494978
39,703,0.013551627
40,716,0.0027316734
41,737,0.00302308
42,815,0.056268055
43,833,0.009873169
44,875,0.010558954
45,876,0.0070074005
46,905,0.0020749113
47,965,0.004958355
48,982,0.0020749113
49,993,0.03252825
50,996,0.0031457983
51,1007,0.005851872
52,1038,0.0033216416
53,1049,0.0020749113
54,1061,0.0048677106
55,1070,0.005976646
56,1079,0.0024602765
57,1094,0.022101305
58,1126,0.010942523
59,1127,0.005658733
60,1192,0.0020749113
61,1193,0.04105329
62,1218,0.07672749
63,1251,0.0029597834
64,1265,0.012568381
65,1280,0.0020749113
66,1283,0.0063945074
67,1304,0.00849899
68,1307,0.03042595
69,1312,0.019198446
70,1322,0.039336745
71,1344,0.0020749113
72,1370,0.009344433
73,1410,0.0045133135
74,1414,0.009542962
75,1415,0.018559748
76,1420,0.024702916
77,1441,0.0020749113
78,1447,0.0030799403
79,1467,0.024576934
80,1498,0.0030799403
81,1525,0.05783168
82,1545,0.004845506
83,1546,0.0148935905
84,1548,0.019008666
85,1573,0.0020749113
86,1582,0.06972972
87,1593,0.015687509
88,1606,0.00302308
89,1611,0.0019599372
90,1637,0.05171809
91,1699,0.012268051
92,1710,0.008990496
93,1712,0.009344433
94,1727,0.0027054918
95,1772,0.011037441
96,1774,0.009668861
97,1790,0.006982639
98,1791,0.037913483
99,1805,0.045029987
